company_name,order_id,order_date,ship_date,shipping_type,product,sales,profit,shipping_cost,year
Maritime Data,c34-9b37,01/04/2020,01/06/2020,Express,Banking platform,110,198.28,68.91,2020
Maritime Data,928-7b2b,01/04/2020,01/06/2020,Express,Business Analytics,236,212.23,56.43,2020
Maritime Data,8ab-b292,01/04/2020,01/09/2020,Standard,Database Security,110,205.55,27.41,2020
Maritime Data,56e-df69,01/04/2020,01/08/2020,Standard,GPU Software,221,226.58,98.86,2020
Maritime Data,902-c6e4,01/04/2020,01/06/2020,Express,Workforce Scheduling,178,284.11,88.63,2020
Fusion Energy,d95-87ab,01/04/2020,01/06/2020,Express,Combustion Fluids,112,31.74,77.2,2020
Fusion Energy,f56-a3e3,01/04/2020,01/04/2020,Same Day,Cleaning Supplies,113,282.73,18.7,2020
Fusion Energy,1bf-f3f3,01/04/2020,01/04/2020,Same Day,Greases,283,76.77,50.48,2020
Fusion Energy,b72-0c00,01/04/2020,01/08/2020,Standard,Rubber,153,214.51,16.12,2020
Bitterroot Wood Studio,091-3fe2,01/04/2020,01/08/2020,Standard,Chairs,145,43.65,44.05,2020
Bitterroot Wood Studio,8e3-247c,01/04/2020,01/06/2020,Express,Tables,29,52.85,37.9,2020
Bitterroot Wood Studio,e4b-6053,01/04/2020,01/04/2020,Same Day,Bedframes,118,266.93,25.52,2020
Bitterroot Wood Studio,32f-f1e1,01/04/2020,01/09/2020,Standard,Bookcases,212,26.94,55.29,2020
Bitterroot Wood Studio,d14-4417,01/04/2020,01/04/2020,Same Day,Cabinets,123,146.09,11.34,2020
Echo,d89-1089,01/04/2020,01/09/2020,Standard,accessories,124,94.05,51.24,2020
Echo,bea-6258,01/04/2020,01/04/2020,Same Day,phones,262,150.82,95.07,2020
Echo,cc5-3d66,01/04/2020,01/11/2020,Standard,computers,126,165.6,78.65,2020
Echo,4ae-8e75,01/04/2020,01/06/2020,Express,tablets,261,143.1,21.41,2020
Echo,e33-43c8,01/04/2020,01/08/2020,Standard,washers,215,151.16,12.33,2020
Echo,649-3fa1,01/04/2020,01/04/2020,Same Day,dryers,158,249.34,90.58,2020
Echo,d56-1c34,01/04/2020,01/11/2020,Standard,car radios,291,20.13,92.32,2020
Apex Corporation,0bb-45c0,01/06/2020,01/13/2020,Standard,accessories,70,194.53,80.57,2020
Apex Corporation,8e3-1a03,01/06/2020,01/06/2020,Same Day,phones,234,169.89,48.48,2020
Apex Corporation,b8e-7450,01/06/2020,01/06/2020,Same Day,computers,260,180.25,42.96,2020
Apex Corporation,5c3-149f,01/06/2020,01/06/2020,Same Day,tablets,59,257.54,91.34,2020
Apex Corporation,1ab-b781,01/06/2020,01/08/2020,Express,televisions,17,201.61,42.58,2020
Maritime Data,7db-182e,01/06/2020,01/08/2020,Express,Cloud Service,169,269.24,89.51,2020
Maritime Data,53b-91d9,01/06/2020,01/08/2020,Express,Banking platform,101,58.22,96.93,2020
Maritime Data,d4e-0f35,01/06/2020,01/13/2020,Standard,Business Analytics,139,271.25,10.29,2020
Maritime Data,628-e9e7,01/06/2020,01/13/2020,Standard,Database Security,263,219.38,68.61,2020
Maritime Data,bab-9bc8,01/06/2020,01/13/2020,Standard,GPU Software,154,201.53,27.68,2020
Maritime Data,eb2-52a2,01/06/2020,01/08/2020,Express,Workforce Scheduling,141,216.55,70.1,2020
Fusion Energy,e63-cc27,01/06/2020,01/11/2020,Standard,Combustion Fluids,116,124.67,84.82,2020
Fusion Energy,4be-64c4,01/06/2020,01/13/2020,Standard,Cleaning Supplies,67,230.31,46.46,2020
Fusion Energy,fe9-5897,01/06/2020,01/06/2020,Same Day,Greases,287,179.24,87.34,2020
Fusion Energy,ce4-a45b,01/06/2020,01/08/2020,Express,Rubber,231,174.48,39.62,2020
Bitterroot Wood Studio,728-cacc,01/06/2020,01/06/2020,Same Day,Chairs,106,79.14,92.61,2020
Bitterroot Wood Studio,9f2-14f0,01/06/2020,01/06/2020,Same Day,Tables,101,216.16,78.62,2020
Bitterroot Wood Studio,e11-9c49,01/06/2020,01/06/2020,Same Day,Bedframes,118,116.68,94.05,2020
Bitterroot Wood Studio,f68-585a,01/06/2020,01/06/2020,Same Day,Bookcases,213,249.78,35.4,2020
Bitterroot Wood Studio,eec-a8f0,01/06/2020,01/06/2020,Same Day,Cabinets,79,128.5,96.97,2020
Echo,0ec-1e1b,01/06/2020,01/06/2020,Same Day,accessories,261,264.48,16.26,2020
Echo,da4-238c,01/06/2020,01/08/2020,Express,phones,151,147.62,20.49,2020
Echo,ccc-20ae,01/06/2020,01/08/2020,Express,computers,213,69.73,64.7,2020
Echo,2c3-2611,01/06/2020,01/13/2020,Standard,tablets,116,177.99,12.18,2020
Echo,bc4-ef3e,01/06/2020,01/08/2020,Express,washers,88,153.37,77.03,2020
Echo,97a-bc4c,01/06/2020,01/08/2020,Express,dryers,218,225.67,86.01,2020
Echo,c04-12e3,01/06/2020,01/13/2020,Standard,car radios,292,161.5,72.72,2020
Apex Corporation,693-0bc3,01/08/2020,01/13/2020,Standard,accessories,119,43.44,71.78,2020
Apex Corporation,f0e-d5dd,01/08/2020,01/10/2020,Express,phones,210,143.35,61.6,2020
Apex Corporation,733-19da,01/08/2020,01/13/2020,Standard,computers,255,116.66,42.36,2020
Apex Corporation,e69-5bb2,01/08/2020,01/15/2020,Standard,tablets,69,231.38,60.63,2020
Apex Corporation,865-3e28,01/08/2020,01/10/2020,Express,televisions,132,113.05,17.24,2020
Maritime Data,324-894b,01/08/2020,01/08/2020,Same Day,Cloud Service,141,227.62,20.14,2020
Maritime Data,15d-7428,01/08/2020,01/08/2020,Same Day,Banking platform,194,178.59,24.7,2020
Maritime Data,534-f950,01/08/2020,01/13/2020,Standard,Business Analytics,224,253.22,54.46,2020
Maritime Data,23e-bf99,01/08/2020,01/08/2020,Same Day,Database Security,87,234.96,85.8,2020
Maritime Data,542-5c90,01/08/2020,01/13/2020,Standard,GPU Software,262,144.91,11.32,2020
Maritime Data,0bd-44e2,01/08/2020,01/13/2020,Standard,Workforce Scheduling,251,188.67,11.43,2020
Fusion Energy,cfe-e6a9,01/08/2020,01/10/2020,Express,Combustion Fluids,130,252.94,77.81,2020
Fusion Energy,5a3-7d8c,01/08/2020,01/10/2020,Express,Cleaning Supplies,13,20.21,70.93,2020
Fusion Energy,8d3-0a55,01/08/2020,01/08/2020,Same Day,Greases,251,77.06,36.29,2020
Fusion Energy,fad-589d,01/08/2020,01/10/2020,Express,Rubber,153,94.19,50.34,2020
Bitterroot Wood Studio,81b-4869,01/08/2020,01/08/2020,Same Day,Chairs,30,133.56,72.44,2020
Bitterroot Wood Studio,1c6-c8ed,01/08/2020,01/10/2020,Express,Tables,278,89.53,43.76,2020
Bitterroot Wood Studio,c13-f110,01/08/2020,01/08/2020,Same Day,Bedframes,297,195.11,11.25,2020
Bitterroot Wood Studio,4c1-533b,01/08/2020,01/14/2020,Standard,Bookcases,15,277.14,38.16,2020
Bitterroot Wood Studio,92a-32e6,01/08/2020,01/13/2020,Standard,Cabinets,276,206.66,27.18,2020
Echo,bd0-187f,01/08/2020,01/15/2020,Standard,accessories,196,220.59,61.58,2020
Echo,2f3-9524,01/08/2020,01/10/2020,Express,phones,167,124.83,67.35,2020
Echo,0ba-f790,01/08/2020,01/08/2020,Same Day,computers,34,33.91,24.13,2020
Echo,c13-97ab,01/08/2020,01/10/2020,Express,tablets,260,225.1,84.9,2020
Echo,f41-7368,01/08/2020,01/14/2020,Standard,washers,64,190.61,67.15,2020
Echo,3cc-0b53,01/08/2020,01/08/2020,Same Day,dryers,204,64.22,36.3,2020
Echo,215-8cea,01/08/2020,01/13/2020,Standard,car radios,275,197.93,53.03,2020
Apex Corporation,7a4-dec1,01/09/2020,01/11/2020,Express,accessories,257,237.61,98.08,2020
Apex Corporation,262-a4fd,01/09/2020,01/11/2020,Express,phones,32,118.23,77.08,2020
Apex Corporation,eee-f830,01/09/2020,01/09/2020,Same Day,computers,238,215.68,94.97,2020
Apex Corporation,efe-c872,01/09/2020,01/09/2020,Same Day,tablets,257,89.31,77.87,2020
Apex Corporation,f73-1603,01/09/2020,01/11/2020,Express,televisions,234,207.27,90.79,2020
Maritime Data,aa9-07b7,01/09/2020,01/09/2020,Same Day,Cloud Service,78,185.56,71.89,2020
Maritime Data,d1c-d107,01/09/2020,01/13/2020,Standard,Banking platform,162,78.37,72.2,2020
Maritime Data,db8-cffb,01/09/2020,01/15/2020,Standard,Business Analytics,26,186.06,72.93,2020
Maritime Data,247-7d6a,01/09/2020,01/11/2020,Express,Database Security,67,222.52,20.74,2020
Maritime Data,af7-6870,01/09/2020,01/09/2020,Same Day,GPU Software,43,176.63,44.33,2020
Maritime Data,3e8-caec,01/09/2020,01/09/2020,Same Day,Workforce Scheduling,86,289.97,10.38,2020
Fusion Energy,d45-076f,01/09/2020,01/11/2020,Express,Combustion Fluids,142,35.44,95.14,2020
Fusion Energy,b65-77e0,01/09/2020,01/16/2020,Standard,Cleaning Supplies,69,149.71,53.98,2020
Fusion Energy,47a-74c7,01/09/2020,01/09/2020,Same Day,Greases,202,77.69,33.21,2020
Fusion Energy,cd3-9e37,01/09/2020,01/09/2020,Same Day,Rubber,88,184.7,42.89,2020
Bitterroot Wood Studio,c20-9e64,01/09/2020,01/16/2020,Standard,Chairs,162,96.41,58.88,2020
Bitterroot Wood Studio,051-4e02,01/09/2020,01/09/2020,Same Day,Tables,157,196.91,46.02,2020
Bitterroot Wood Studio,d83-dc39,01/09/2020,01/11/2020,Express,Bedframes,187,91.99,31.34,2020
Bitterroot Wood Studio,695-6c73,01/09/2020,01/09/2020,Same Day,Bookcases,56,41.03,48.11,2020
Bitterroot Wood Studio,7fd-d223,01/09/2020,01/09/2020,Same Day,Cabinets,204,131.35,48.78,2020
Echo,94d-9898,01/09/2020,01/11/2020,Express,accessories,55,214.26,17.02,2020
Echo,202-4d11,01/09/2020,01/09/2020,Same Day,phones,14,207.51,66.43,2020
Echo,22b-edc3,01/09/2020,01/11/2020,Express,computers,10,35.69,75.74,2020
Echo,208-c04f,01/09/2020,01/11/2020,Express,tablets,133,267.19,20.98,2020
Echo,435-e332,01/09/2020,01/09/2020,Same Day,washers,169,121.5,37.71,2020
Echo,711-b612,01/09/2020,01/11/2020,Express,dryers,33,25.02,34.65,2020
Echo,e9f-2da5,01/09/2020,01/11/2020,Express,car radios,165,198.86,29.56,2020
Apex Corporation,eed-0350,01/10/2020,01/10/2020,Same Day,accessories,134,295.36,14.01,2020
Apex Corporation,bec-ade9,01/10/2020,01/17/2020,Standard,phones,300,68.41,10.69,2020
Apex Corporation,76b-ea5c,01/10/2020,01/12/2020,Express,computers,131,46.59,18.67,2020
Apex Corporation,00e-e68c,01/10/2020,01/12/2020,Express,tablets,292,125.17,80.14,2020
Apex Corporation,b78-aa57,01/10/2020,01/12/2020,Express,televisions,229,62.46,43.18,2020
Maritime Data,a3b-64cf,01/10/2020,01/16/2020,Standard,Cloud Service,58,127.55,44.01,2020
Maritime Data,f47-8f98,01/10/2020,01/15/2020,Standard,Banking platform,123,290.1,36.78,2020
Maritime Data,e0e-b554,01/10/2020,01/10/2020,Same Day,Business Analytics,148,74.35,61.34,2020
Maritime Data,625-afaa,01/10/2020,01/14/2020,Standard,Database Security,135,210.65,53.68,2020
Maritime Data,dfd-c7b0,01/10/2020,01/12/2020,Express,GPU Software,49,264.34,24.73,2020
Maritime Data,f94-70ea,01/10/2020,01/10/2020,Same Day,Workforce Scheduling,280,167.1,30.35,2020
Fusion Energy,4bb-55b2,01/10/2020,01/16/2020,Standard,Combustion Fluids,206,179.88,57.92,2020
Fusion Energy,a49-4b19,01/10/2020,01/10/2020,Same Day,Cleaning Supplies,206,298.05,83.21,2020
Fusion Energy,29f-e0a2,01/10/2020,01/10/2020,Same Day,Greases,145,286.19,46.63,2020
Fusion Energy,3b0-79a4,01/10/2020,01/12/2020,Express,Rubber,232,294.18,56.91,2020
Bitterroot Wood Studio,8ea-3f6c,01/10/2020,01/10/2020,Same Day,Chairs,30,239.38,80.19,2020
Bitterroot Wood Studio,f7e-b771,01/10/2020,01/10/2020,Same Day,Tables,153,218.03,73.43,2020
Bitterroot Wood Studio,981-4142,01/10/2020,01/16/2020,Standard,Bedframes,286,200.08,20.74,2020
Bitterroot Wood Studio,050-1895,01/10/2020,01/12/2020,Express,Bookcases,157,229.88,25.78,2020
Bitterroot Wood Studio,e4f-4bca,01/10/2020,01/16/2020,Standard,Cabinets,193,284.53,21.93,2020
Echo,201-262a,01/10/2020,01/12/2020,Express,accessories,144,144.39,45.19,2020
Echo,5fc-fdbb,01/10/2020,01/17/2020,Standard,phones,246,200.3,83.87,2020
Echo,3bd-5841,01/10/2020,01/12/2020,Express,computers,16,110.74,19.89,2020
Echo,652-047d,01/10/2020,01/17/2020,Standard,tablets,147,272.26,79.99,2020
Echo,140-a612,01/10/2020,01/12/2020,Express,washers,57,71.05,46.22,2020
Echo,828-107b,01/10/2020,01/16/2020,Standard,dryers,292,262.54,96.67,2020
Echo,7ed-ec73,01/10/2020,01/10/2020,Same Day,car radios,83,212.85,25.33,2020
Apex Corporation,99a-98e0,01/11/2020,01/18/2020,Standard,accessories,256,260.22,50.35,2020
Apex Corporation,40f-5884,01/11/2020,01/18/2020,Standard,phones,24,81.42,92.19,2020
Apex Corporation,c73-a04c,01/11/2020,01/17/2020,Standard,computers,20,192.88,39.21,2020
Apex Corporation,c00-de12,01/11/2020,01/11/2020,Same Day,tablets,180,20.12,90.93,2020
Apex Corporation,c21-f0d6,01/11/2020,01/11/2020,Same Day,televisions,142,248.99,13.64,2020
Maritime Data,f93-7278,01/11/2020,01/11/2020,Same Day,Cloud Service,235,26.56,13.86,2020
Maritime Data,845-1a59,01/11/2020,01/13/2020,Express,Banking platform,52,102.99,78.14,2020
Maritime Data,5d4-e20f,01/11/2020,01/13/2020,Express,Business Analytics,207,217.92,35.01,2020
Maritime Data,9ec-f60d,01/11/2020,01/11/2020,Same Day,Database Security,170,174.31,27.29,2020
Maritime Data,b31-712e,01/11/2020,01/13/2020,Express,GPU Software,135,154.2,65.22,2020
Maritime Data,9d6-b60f,01/11/2020,01/11/2020,Same Day,Workforce Scheduling,233,134.82,71.9,2020
Fusion Energy,aa3-7b67,01/11/2020,01/11/2020,Same Day,Combustion Fluids,26,272.2,76.14,2020
Fusion Energy,dfd-8243,01/11/2020,01/11/2020,Same Day,Cleaning Supplies,175,73.15,53.21,2020
Fusion Energy,a96-50fd,01/11/2020,01/13/2020,Express,Greases,21,151.7,71.96,2020
Fusion Energy,b36-d005,01/11/2020,01/13/2020,Express,Rubber,133,214.17,61.52,2020
Bitterroot Wood Studio,1be-dd50,01/11/2020,01/11/2020,Same Day,Chairs,193,284.06,91.29,2020
Bitterroot Wood Studio,43c-03b3,01/11/2020,01/11/2020,Same Day,Tables,146,270.75,68.16,2020
Bitterroot Wood Studio,d3d-9697,01/11/2020,01/11/2020,Same Day,Bedframes,277,63.85,21.44,2020
Bitterroot Wood Studio,0b2-cb89,01/11/2020,01/13/2020,Express,Bookcases,91,222.14,41.3,2020
Bitterroot Wood Studio,8fb-2feb,01/11/2020,01/17/2020,Standard,Cabinets,164,254.2,90.49,2020
Echo,9e7-edb6,01/11/2020,01/16/2020,Standard,accessories,242,192.15,39.6,2020
Echo,983-5bda,01/11/2020,01/11/2020,Same Day,phones,186,30.4,16.04,2020
Echo,cab-0bf8,01/11/2020,01/11/2020,Same Day,computers,185,147.79,85.01,2020
Echo,8ce-0d22,01/11/2020,01/18/2020,Standard,tablets,112,38.73,91.45,2020
Echo,ba6-e339,01/11/2020,01/15/2020,Standard,washers,197,289.54,63.4,2020
Echo,8c1-e5c6,01/11/2020,01/11/2020,Same Day,dryers,12,232.79,50.59,2020
Echo,4b1-112a,01/11/2020,01/11/2020,Same Day,car radios,246,107.06,22.22,2020
Apex Corporation,167-fa56,01/13/2020,01/20/2020,Standard,accessories,174,257.96,95.11,2020
Apex Corporation,a62-5a7d,01/13/2020,01/13/2020,Same Day,phones,152,159.47,92.19,2020
Apex Corporation,42d-d77c,01/13/2020,01/13/2020,Same Day,computers,131,230.81,41.46,2020
Apex Corporation,5cc-d54d,01/13/2020,01/13/2020,Same Day,tablets,273,151.23,82.29,2020
Apex Corporation,4e8-f8f9,01/13/2020,01/13/2020,Same Day,televisions,41,189.18,69.16,2020
Maritime Data,427-0fb8,01/13/2020,01/13/2020,Same Day,Cloud Service,76,25.0,29.84,2020
Maritime Data,506-f3ee,01/13/2020,01/15/2020,Express,Banking platform,246,175.1,67.0,2020
Maritime Data,3bb-9307,01/13/2020,01/17/2020,Standard,Business Analytics,291,297.53,67.68,2020
Maritime Data,04b-ff02,01/13/2020,01/20/2020,Standard,Database Security,113,77.22,31.52,2020
Maritime Data,e36-4ec8,01/13/2020,01/15/2020,Express,GPU Software,125,152.65,56.15,2020
Maritime Data,ed5-b3bb,01/13/2020,01/20/2020,Standard,Workforce Scheduling,240,138.77,35.75,2020
Fusion Energy,0bf-7762,01/13/2020,01/20/2020,Standard,Combustion Fluids,126,218.88,94.17,2020
Fusion Energy,831-1048,01/13/2020,01/15/2020,Express,Cleaning Supplies,90,211.21,41.71,2020
Fusion Energy,374-dbfe,01/13/2020,01/15/2020,Express,Greases,93,206.13,77.96,2020
Fusion Energy,12a-4314,01/13/2020,01/13/2020,Same Day,Rubber,150,56.03,23.56,2020
Bitterroot Wood Studio,648-6c76,01/13/2020,01/18/2020,Standard,Chairs,195,82.14,93.03,2020
Bitterroot Wood Studio,163-3916,01/13/2020,01/13/2020,Same Day,Tables,288,218.94,57.57,2020
Bitterroot Wood Studio,00c-accd,01/13/2020,01/13/2020,Same Day,Bedframes,32,83.05,55.17,2020
Bitterroot Wood Studio,bae-e666,01/13/2020,01/20/2020,Standard,Bookcases,221,173.06,62.46,2020
Bitterroot Wood Studio,a4c-7493,01/13/2020,01/15/2020,Express,Cabinets,53,64.21,10.44,2020
Echo,83d-34a2,01/13/2020,01/17/2020,Standard,accessories,277,45.98,85.4,2020
Echo,3ba-22cb,01/13/2020,01/20/2020,Standard,phones,198,55.2,33.3,2020
Echo,310-2091,01/13/2020,01/15/2020,Express,computers,179,275.27,59.11,2020
Echo,cfd-f903,01/13/2020,01/13/2020,Same Day,tablets,60,73.41,44.35,2020
Echo,fa9-de02,01/13/2020,01/15/2020,Express,washers,59,129.28,78.15,2020
Echo,efa-2d3c,01/13/2020,01/15/2020,Express,dryers,188,131.05,10.25,2020
Echo,535-1ad9,01/13/2020,01/15/2020,Express,car radios,102,127.7,46.76,2020
Apex Corporation,2b8-7334,01/14/2020,01/14/2020,Same Day,accessories,140,288.53,79.08,2020
Apex Corporation,276-7a9d,01/14/2020,01/14/2020,Same Day,phones,186,73.87,43.06,2020
Apex Corporation,8b6-2545,01/14/2020,01/16/2020,Express,computers,129,157.59,62.02,2020
Apex Corporation,7ce-d0fa,01/14/2020,01/20/2020,Standard,tablets,219,201.58,24.16,2020
Apex Corporation,29c-4ab3,01/14/2020,01/14/2020,Same Day,televisions,278,226.35,32.82,2020
Maritime Data,19b-8f16,01/14/2020,01/14/2020,Same Day,Cloud Service,116,62.17,56.78,2020
Maritime Data,da5-eb6a,01/14/2020,01/16/2020,Express,Banking platform,220,292.23,33.79,2020
Maritime Data,6a2-44e8,01/14/2020,01/20/2020,Standard,Business Analytics,203,168.38,99.13,2020
Maritime Data,5f1-5215,01/14/2020,01/16/2020,Express,Database Security,198,229.14,93.63,2020
Maritime Data,607-f180,01/14/2020,01/18/2020,Standard,GPU Software,92,77.57,29.45,2020
Maritime Data,f37-67eb,01/14/2020,01/21/2020,Standard,Workforce Scheduling,120,97.35,94.22,2020
Fusion Energy,b71-b5b2,01/14/2020,01/14/2020,Same Day,Combustion Fluids,294,146.78,63.63,2020
Fusion Energy,e5f-50d5,01/14/2020,01/14/2020,Same Day,Cleaning Supplies,139,116.92,35.23,2020
Fusion Energy,a31-8e74,01/14/2020,01/14/2020,Same Day,Greases,164,87.99,75.97,2020
Fusion Energy,5ec-ee12,01/14/2020,01/16/2020,Express,Rubber,140,64.84,49.75,2020
Bitterroot Wood Studio,0b7-748b,01/14/2020,01/16/2020,Express,Chairs,39,216.41,48.27,2020
Bitterroot Wood Studio,a98-dc3b,01/14/2020,01/16/2020,Express,Tables,279,30.83,94.02,2020
Bitterroot Wood Studio,59b-83e3,01/14/2020,01/14/2020,Same Day,Bedframes,119,255.53,25.16,2020
Bitterroot Wood Studio,d1b-a95e,01/14/2020,01/16/2020,Express,Bookcases,210,278.27,35.62,2020
Bitterroot Wood Studio,d84-a35d,01/14/2020,01/14/2020,Same Day,Cabinets,277,239.59,47.93,2020
Echo,de8-cb44,01/14/2020,01/21/2020,Standard,accessories,105,210.87,19.3,2020
Echo,e66-076c,01/14/2020,01/20/2020,Standard,phones,263,203.15,51.48,2020
Echo,094-86d9,01/14/2020,01/20/2020,Standard,computers,129,45.5,92.55,2020
Echo,040-982d,01/14/2020,01/16/2020,Express,tablets,62,242.37,43.35,2020
Echo,2fb-b060,01/14/2020,01/14/2020,Same Day,washers,63,133.62,64.3,2020
Echo,19f-16cf,01/14/2020,01/14/2020,Same Day,dryers,192,43.55,36.02,2020
Echo,2e1-3738,01/14/2020,01/14/2020,Same Day,car radios,199,238.81,90.89,2020
Apex Corporation,c90-e574,01/16/2020,01/18/2020,Express,accessories,238,38.4,25.35,2020
Apex Corporation,c88-0520,01/16/2020,01/20/2020,Standard,phones,185,217.04,86.09,2020
Apex Corporation,6f5-c4f6,01/16/2020,01/23/2020,Standard,computers,283,103.51,86.55,2020
