"""
Will be used later but not for the final version for the cs232 class
"""


stock_abbrev,date,opening_price,daily_max,daily_min,closing_price
APX,11/04/2021,239.37,250.93,224.44,238.43
APX,11/05/2021,238.43,244.43,235.86,240.45
APX,11/08/2021,240.45,246.77,231.52,233.59
APX,11/09/2021,233.59,246.07,212.29,237.97
APX,11/10/2021,237.97,260.08,219.89,229.24
APX,11/11/2021,229.24,234.36,219.65,232.45
APX,11/12/2021,232.45,233.71,225.11,229.43
APX,11/15/2021,229.43,251.2,217.13,249.0
APX,11/16/2021,249.0,249.57,241.13,247.23
APX,11/17/2021,247.23,268.65,229.29,257.43
APX,11/18/2021,257.43,260.61,237.98,257.18
APX,11/19/2021,257.18,276.74,242.9,267.81
APX,11/22/2021,267.81,293.92,261.46,277.18
APX,11/23/2021,277.18,284.32,249.81,277.95
APX,11/24/2021,277.95,297.78,266.21,296.88
APX,11/25/2021,296.88,324.55,295.22,311.59
APX,11/26/2021,311.59,321.56,292.14,319.05
APX,11/29/2021,319.05,322.62,294.53,319.49
APX,11/30/2021,319.49,336.61,319.28,330.67
APX,12/01/2021,330.67,362.13,329.07,331.06
APX,12/02/2021,331.06,343.07,326.84,326.9
APX,12/03/2021,326.9,340.7,320.24,322.33
APX,12/06/2021,322.33,354.41,300.22,327.28
APX,12/07/2021,327.28,349.53,305.09,305.35
APX,12/08/2021,305.35,315.59,297.57,309.84
APX,12/09/2021,309.84,317.88,307.44,311.16
APX,12/10/2021,311.16,315.31,281.53,295.39
APX,12/13/2021,295.39,321.0,273.29,319.04
APX,12/14/2021,319.04,324.44,308.48,315.21
APX,12/15/2021,315.21,317.84,296.4,300.67
APX,12/16/2021,300.67,318.97,277.66,298.73
APX,12/17/2021,298.73,323.61,295.59,304.78
APX,12/20/2021,304.78,317.68,281.73,317.47
APX,12/21/2021,317.47,337.77,302.75,332.15
APX,12/22/2021,332.15,364.03,319.02,359.28
APX,12/23/2021,359.28,386.65,325.34,385.03
APX,12/24/2021,385.03,414.26,366.06,392.48
APX,12/27/2021,392.48,392.74,386.11,386.64
APX,12/28/2021,386.64,396.24,385.53,386.7
APX,12/29/2021,386.7,393.08,354.09,363.98
APX,12/30/2021,363.98,398.49,352.41,382.8
APX,12/31/2021,382.8,409.43,380.91,393.96
APX,01/03/2022,393.96,415.79,377.96,391.31
APX,01/04/2022,391.31,395.32,387.49,389.99
APX,01/05/2022,389.99,409.24,363.41,386.16
APX,01/06/2022,386.16,394.58,347.98,376.58
APX,01/07/2022,376.58,380.71,364.32,373.28
APX,01/10/2022,373.28,398.35,344.53,364.43
APX,01/11/2022,364.43,390.41,343.62,368.67
APX,01/12/2022,368.67,382.51,366.84,377.83
APX,01/13/2022,377.83,387.96,360.5,374.74
APX,01/14/2022,374.74,396.82,352.33,358.37
APX,01/17/2022,358.37,374.87,351.54,366.9
